token,lem
question,question
applicable,applicable
flood,flood
sea,sea
level,level
rise,rise
flash,flash
surface,surface
infrastructure,infrastructure
development,development
flooding,flood
damage,damage
building,building
roads,road
coastal,coastal
neighborhoods,neighborhood
represents,represent
risk,risk
major,major
transportation,transportation
hubs,hub
region,region
long,long
term,term
effect,effect
industrial,industrial
commercial,commercial
activities,activity
areas,area
urban,urban
forestry,forestry
local,local
natural,natural
biodiversity,biodiversity
increases,increase
shoreline,shoreline
erosion,erosion
undermining,undermine
damaging,damaging
nearby,nearby
facilities,facility
greening,green
economy,economy
know,know
experiences,experience
periods,period
drought,drought
future,future
water,water
stress,stress
currently,currently
uncertain,uncertain
restrict,restrict
use,use
scar,scar
government,government
community,community
emissions,emission
total,total
tons,ton
wide,wide
reduction,reduction
baseline,baseline
established,establish
energy,energy
grid,grid
powers,power
changed,change
number,number
ways,way
coal,coal
dropped,drop
accounting,account
regional,regional
increase,increase
gas,gas
accounted,account
resulted,result
ghg,ghg
population,population
declined,decline
aggregation,aggregation
program,program
able,able
provide,provide
renewable,renewable
residents,resident
businesses,business
helped,help
eliminate,eliminate
atmosphere,atmosphere
significant,significant
improvements,improvement
form,form
led,lead
lighting,lighting
upgrades,upgrade
hvac,hvac
enhancements,enhancement
pump,pump
incinerator,incinerator
reducing,reduce
associated,associate
facility,facility
operations,operation
saw,see
early,early
adopter,adopter
radio,radio
identification,identification
tag,tag
technology,technology
waste,waste
recycling,recycling
carts,cart
allows,allow
better,well
track,track
participation,participation
programs,program
drive,drive
solid,solid
related,relate
increased,increase
demand,demand
healthcare,healthcare
services,service
immediately,immediately
occurring,occur
estimated,estimate
mitigation,mitigation
adaptation,adaptation
strategies,strategy
identified,identify
plan,plan
economic,economic
social,social
benefits,benefit
green,green
spaces,space
agriculture,agriculture
assist,assist
citizen,citizen
empowerment,empowerment
food,food
deserts,desert
practices,practice
improve,improve
s,s
resilience,resilience
decrease,decrease
likelihood,likelihood
environmental,environmental
disasters,disaster
challenges,challenge
primary,primary
trade,trade
upfront,upfront
cost,cost
actions,action
require,require
finance,finance
secured,secure
strategic,strategic
business,business
national,national
factors,factor
database,database
agency,agency
hub,hub
greenhouse,greenhouse
inventories,inventory
living,living
high,high
properties,property
investment,investment
poses,pose
communication,communication
homeowners,homeowner
absentee,absentee
insurance,insurance
claims,claim
hazards,hazard
direct,direct
marginalized,marginalized
groups,group
coordinator,coordinator
says,say
comprehensive,comprehensive
method,method
spills,spill
freons,freon
reporting,reporting
threshold,threshold
listed,list
air,air
pollutants,pollutant
inventory,inventory
requirements,requirement
accidental,accidental
reported,report
reports,report
voluntary,voluntary
incomplete,incomplete
elderly,elderly
action,action
outlines,outline
management,management
approach,approach
existing,exist
sand,sand
dune,dune
features,feature
install,install
new,new
dunes,dune
vegetation,vegetation
beaches,beach
habitat,habitat
biota,biota
protection,protection
storm,storm
protecting,protect
beach,beach
residential,residential
dedicated,dedicated
team,team
scope,scope
indirect,indirect
increasing,increase
specify,specify
district,district
gridding,gridding
solutions,solution
consultant,consultant
data,datum
estimate,estimate
improving,improve
non,non
motorized,motorize
transport,transport
limits,limit
capture,capture
systems,system
public,public
health,health
safety,safety
council,council
decided,decide
join,join
cpa,cpa
choice,choice
cities,city
counties,county
southern,southern
purchase,purchase
electri,electri
sale,sale
communities,community
intends,intend
buy,buy
cleaner,clean
offer,offer
customers,customer
lower,low
develop,develop
reduce,reduce
effects,effect
climate,climate
change,change
include,include
providing,provide
incentives,incentive
rebates,rebate
rooftop,rooftop
solar,solar
battery,battery
storage,storage
efficiency,efficiency
projects,project
reduced,reduce
charging,charging
rates,rate
electric,electric
vehicles,vehicle
river,river
resilient,resilient
awareness,awareness
inclusion,inclusion
justice,justice
covers,cover
entire,entire
senior,senior
serves,serve
meals,meal
day,day
regular,regular
weekdays,weekday
special,special
event,event
days,day
annual,annual
served,serve
schools,school
hospitals,hospital
outside,outside
jurisdiction,jurisdiction
available,available
challenge,challenge
platform,platform
commit,commit
seek,seek
conserve,conserve
topics,topic
home,home
conservation,conservation
includes,include
resources,resource
easy,easy
steps,step
progress,progress
costs,cost
timescale,timescale
launched,launch
summit,summit
works,work
countyemissions,countyemission
renewables,renewable
production,production
medium,medium
children,child
starting,start
county,county
initiative,initiative
known,know
safe,safe
futures,future
allocated,allocate
including,include
composting,composting
additional,additional
glass,glass
depots,depot
plans,plan
construction,construction
demolition,demolition
town,town
fully,fully
calculated,calculate
disaster,disaster
shift,shift
sustainable,sustainable
behaviours,behaviour
wind,wind
surge,surge
outdoor,outdoor
workers,worker
education,education
supports,support
individual,individual
household,household
supplies,supply
technical,technical
assistance,assistance
addition,addition
designating,designate
land,land
edibles,edibles
office,office
provides,provide
contractual,contractual
support,support
administer,administer
expand,expand
garden,garden
network,network
youth,youth
raising,raise
campaign,campaign
vulnerable,vulnerable
populations,population
physical,physical
injuries,injury
deaths,death
extreme,extreme
weather,weather
events,event
mobility,mobility
operate,operate
landfills,landfill
boundary,boundary
deadline,deadline
delivering,deliver
degree,degree
ambition,ambition
agreement,agreement
inclusive,inclusive
way,way
incorporated,incorporate
square,square
mile,mile
charter,charter
small,small
oasis,oasis
metropolis,metropolis
surrounded,surround
nearly,nearly
households,household
radius,radius
miles,mile
north,north
international,international
freeways,freeway
making,make
easily,easily
accessible,accessible
paid,pay
junction,junction
routes,route
downtown,downtown
studios,studio
operating,operate
center,center
film,film
eventually,eventually
attracting,attract
television,television
working,work
class,class
creative,creative
industries,industry
industry,industry
remains,remain
key,key
life,life
tech,tech
design,design
firms,firm
investing,invest
demonstrated,demonstrate
global,global
media,medium
giants,giant
adaptively,adaptively
reusing,reuse
location,location
base,base
connectors,connector
expo,expo
line,line
roadways,roadway
desirable,desirable
strong,strong
real,real
estate,estate
values,value
districts,district
access,access
vibrant,vibrant
diverse,diverse
cultural,cultural
quality,quality
school,school
system,system
supportive,supportive
environment,environment
single,single
parent,parent
sex,sex
interracial,interracial
undocumented,undocumented
families,family
contributing,contribute
reputation,reputation
kindness,kindness
grown,grow
struggled,struggle
balance,balance
emerging,emerge
role,role
biotech,biotech
feel,feel
position,position
jobs,job
housing,housing
kept,keep
shortage,shortage
rising,rise
longer,long
commutes,commute
homelessness,homelessness
expanded,expand
connectivity,connectivity
accelerated,accelerate
growth,growth
decades,decade
underinvestment,underinvestment
transit,transit
exacerbated,exacerbate
area,area
growing,grow
pandemic,pandemic
accentuated,accentuate
issues,issue
address,address
extending,extend
temporary,temporary
renter,renter
protections,protection
supporting,support
affordable,affordable
inclusionary,inclusionary
ordinance,ordinance
linkage,linkage
fee,fee
rental,rental
accessory,accessory
dwelling,dwelling
unit,unit
partnering,partnering
prevent,prevent
humanity,humanity
greater,great
la,la
construct,construct
implementing,implement
recommendations,recommendation
oriented,orient
visioning,visioning
study,study
municipal,municipal
fiber,fiber
project,project
corridors,corridor
approving,approve
complete,complete
streets,street
policy,policy
launching,launch
bikeshare,bikeshare
e,e
scooter,scooter
pilot,pilot
updating,update
bicycle,bicycle
pedestrian,pedestrian
adopting,adopt
vision,vision
connect,connect
bus,bus
share,share
ride,ride
closing,closing
lanes,lane
arts,art
allow,allow
dining,dining
considering,consider
slow,slow
little,little
traffic,traffic
low,low
speeds,speed
extend,extend
outdoors,outdoor
practicing,practice
distancing,distancing
planning,plan
tactical,tactical
lane,lane
buses,bus
bikes,bike
scooters,scooter
emergency,emergency
allowing,allow
private,private
property,property
right,right
permits,permit
passing,pass
eviction,eviction
moratorium,moratorium
relaxing,relax
standards,standard
regulating,regulate
parking,parking
intensification,intensification
comprehensively,comprehensively
general,general
bolster,bolster
assets,asset
vulnerability,vulnerability
assessment,assessment
partially,partially
funded,fund
seeking,seek
funding,funding
inequality,inequality
socioeconomic,socioeconomic
status,status
exposure,exposure
risks,risk
heat,heat
individuals,individual
inability,inability
adapt,adapt
l,l
prioritizes,prioritize
severe,severe
rainstorm,rainstorm
prove,prove
fatal,fatal
tremendous,tremendous
built,build
caused,cause
rainstorms,rainstorm
hazard,hazard
cause,cause
sanitation,sanitation
concerns,concern
dollar,dollar
developed,develop
implemented,implement
loss,loss
tax,tax
fire,fire
regulation,regulation
completed,complete
consumption,consumption
based,base
updated,update
science,science
accuracy,accuracy
cool,cool
attached,attach
newest,new
report,report
quantifying,quantify
published,publish
coming,come
months,month
larger,large
adjoining,adjoining
integrated,integrate
conditions,condition
maintenance,maintenance
adopted,adopt
implementation,implementation
arm,arm
time,time
target,target
levels,level
kicked,kick
update,update
aiming,aim
carbon,carbon
neutrality,neutrality
security,security
mayor,mayor
match,match
state,state
targets,target
aim,aim
neutral,neutral
committed,commit
cap,cap
years,year
ton,ton
operation,operation
healthy,healthy
farm,farm
fresh,fresh
promoting,promote
farmers,farmer
markets,market
snap,snap
distributed,distribute
fruit,fruit
vegetable,vegetable
vouchers,voucher
prioritizing,prioritize
distribution,distribution
market,market
organizations,organization
serving,serve
frontline,frontline
shoppers,shopper
fruits,fruit
vegetables,vegetable
significantly,significantly
vendors,vendor
multiple,multiple
considered,consider
unreliable,unreliable
methodology,methodology
inefficiencies,inefficiency
diesel,diesel
oil,oil
poverty,poverty
displacement,displacement
pound,pound
persons,person
sub,sub
standard,standard
emission,emission
relating,relate
year,year
consumed,consume
changes,change
extended,extended
range,range
commuting,commute
behavior,behavior
onroad,onroad
chronic,chronic
diseases,disease
roughly,roughly
aspen,aspen
experienced,experience
forest,forest
mountain,mountain
human,human
ridden,ride
amplified,amplify
extent,extent
severity,severity
result,result
prolonged,prolong
poor,poor
near,near
destruction,destruction
critical,critical
power,power
lines,line
lives,life
lost,lose
family,family
homes,home
destroyed,destroy
furthermore,furthermore
basalt,basalt
deeply,deeply
intertwined,intertwined
immense,immense
emotional,emotional
distress,distress
fires,fire
concern,concern
especially,especially
forests,forest
prone,prone
catching,catch
rapid,rapid
spread,spread
immediate,immediate
create,create
affect,affect
short,short
tourism,tourism
need,need
firefighting,firefighting
medical,medical
impacts,impact
combined,combine
destabilizing,destabilize
variety,variety
isolation,isolation
scare,scare
highest,high
recent,recent
ranked,rank
world,world
issued,issue
discusses,discuss
financial,financial
hardships,hardship
face,face
asset,asset
limited,limited
income,income
constrained,constrain
employed,employ
federal,federal
afford,afford
basic,basic
necessities,necessity
child,child
care,care
mainly,mainly
dominance,dominance
wage,wage
defines,define
uses,use
stability,stability
budget,budget
quantify,quantify
needed,need
sustain,sustain
economically,economically
viable,viable
percent,percent
savings,saving
smartphone,smartphone
average,average
survival,survival
person,person
adjusted,adjust
size,size
translates,translate
hourly,hourly
parents,parent
adult,adult
translating,translate
hour,hour
greatest,great
expense,expense
month,month
bedroom,bedroom
apartment,apartment
rent,rent
start,start
great,great
recession,recession
driven,drive
primarily,primarily
rate,rate
inflation,inflation
period,period
varies,vary
expensive,expensive
budgetary,budgetary
unprecedented,unprecedented
gap,gap
getting,get
wider,wide
difficult,difficult
implement,implement
initiatives,initiative
changing,change
demographics,demographic
training,training
neighborhood,neighborhood
crisis,crisis
warning,warning
evacuation,evacuation
information,information
communications,communication
consultants,consultant
reductions,reduction
align,align
set,set
percentage,percentage
goal,goal
close,close
reasonable,reasonable
achievable,achievable
adoption,adoption
goals,goal
achieved,achieve
collaborating,collaborate
accommodate,accommodate
floods,flood
innovative,innovative
completion,completion
road,road
waterborne,waterborne
combat,combat
priority,priority
tree,tree
canopy,canopy
unemployed,unemployed
dredging,dredging
old,old
figure,figure
figures,figure
unknown,unknown
illnesses,illness
moderate,moderate
effort,effort
obtain,obtain
accurate,accurate
specific,specific
pertains,pertain
unique,unique
boundaries,boundary
limitations,limitation
sets,set
official,official
records,record
research,research
studies,study
cases,case
hot,hot
temperature,temperature
wave,wave
mechanism,mechanism
overwhelming,overwhelming
service,service
provision,provision
relevant,relevant
addressed,address
master,master
salt,salt
intrusion,intrusion
aquifer,aquifer
away,away
drain,drain
stations,station
pipelines,pipeline
infiltrated,infiltrate
salty,salty
ground,ground
airport,airport
treatment,treatment
forced,force
treat,treat
unnecessary,unnecessary
intending,intend
undertake,undertake
fuel,fuel
pre,pre
society,society
culture,culture
disposal,disposal
disruption,disruption
wastewater,wastewater
lead,lead
material,material
potential,potential
provided,provide
american,american
modeling,modeling
process,process
electrified,electrify
rail,rail
free,free
corridor,corridor
core,core
touristic,touristic
centers,center
leeward,leeward
west,west
o,o
maximize,maximize
walkable,walkable
designs,design
clean,clean
options,option
transforming,transform
fleet,fleet
fuels,fuel
budgets,budget
place,place
vehicle,vehicle
released,release
strategy,strategy
completing,complete
complement,complement
augment,augment
law,law
final,final
stage,stage
presented,present
recalculate,recalculate
methodologies,methodology
best,good
reflect,reflect
guidance,guidance
fill,fill
gaps,gap
previous,previous
gwps,gwps
instead,instead
stay,stay
consistent,consistent
stationary,stationary
corrected,correct
double,double
counting,counting
errors,error
newer,new
model,model
economies,economy
railway,railway
assumptions,assumption
reassigned,reassign
aviation,aviation
consistency,consistency
allocation,allocation
appropriate,appropriate
scopes,scope
assume,assume
treated,treat
generated,generate
added,add
application,application
biosolids,biosolid
stakeholder,stakeholder
engagement,engagement
formed,form
help,help
biological,biological
disease,disease
effluent,effluent
reuse,reuse
improved,improve
people,people
notice,notice
attention,attention
placed,place
needs,need
instance,instance
increasingly,increasingly
inquiring,inquire
installing,instal
rainwater,rainwater
harvesting,harvesting
half,half
price,price
rain,rain
barrel,barrel
procurement,procurement
enhanced,enhanced
assessments,assessment
heartlands,heartland
utilized,utilize
applied,apply
techniques,technique
usable,usable
governments,government
averaging,averaging
results,result
means,mean
different,different
models,model
scenarios,scenario
scientists,scientist
identify,identify
signals,signal
strongest,strong
circumstances,circumstance
work,work
utilizes,utilize
methods,method
transparent,transparent
publicly,publicly
second,second
present,present
technique,technique
scaling,scale
projections,projection
obtained,obtain
finer,fine
grained,grain
scale,scale
stoner,stoner
diversifying,diversify
supply,supply
sources,source
advantage,advantage
opportunities,opportunity
capa,capa
sustainability,sustainability
enacting,enact
enforcement,enforcement
operational,operational
manager,manager
lack,lack
departments,department
reach,reach
heights,height
institutionalized,institutionalize
exceeds,exceed
requirement,requirement
feasibility,feasibility
impact,impact
current,current
buildings,building
incidence,incidence
prevalence,prevalence
illness,illness
groundwater,groundwater
efforts,effort
staff,staff
grants,grant
preservation,preservation
improvement,improvement
playbook,playbook
protocol,protocol
iclei,iclei
upcoming,upcoming
atmospheric,atmospheric
concentrations,concentration
recently,recently
created,create
street,street
concentration,concentration
nfip,nfip
repetitive,repetitive
awarded,award
environments,environment
approximately,approximately
award,award
competition,competition
partners,partner
secure,secure
funds,fund
profile,profile
utilizing,utilize
structural,structural
measures,measure
recreation,recreation
suburban,suburban
deficits,deficit
referenced,reference
past,past
stormwater,stormwater
bmps,bmp
restore,restore
ecological,ecological
structures,structure
substantial,substantial
floodplain,floodplain
additionally,additionally
actively,actively
incorporating,incorporate
capital,capital
payments,payment
supplier,supplier
rainfall,rainfall
control,control
drainage,drainage
adheres,adhere
code,code
specifies,specify
geographic,geographic
installation,installation
reduces,reduce
usage,usage
nystretch,nystretch
aims,aim
resource,resource
tropical,tropical
introduced,introduce
oahu,oahu
cold,cold
winter,winter
sufficient,sufficient
answer,answer
signed,sign
contract,contract
constellation,constellation
procure,procure
township,township
comprised,comprise
accounts,account
plant,plant
pumping,pumping
monitor,monitor
partnership,partnership
collected,collect
utilities,utility
southwest,southwest
declining,decline
innovation,innovation
formal,formal
schedule,schedule
located,locate
ambulatory,ambulatory
response,response
laboratories,laboratory
pharmacies,pharmacy
fluctuating,fluctuate
socio,socio
conflict,conflict
crime,crime
calculates,calculate
required,required
sectors,sector
space,space
expansion,expansion
establish,establish
stringent,stringent
promote,promote
appliances,appliance
products,product
conditioning,conditioning
robust,robust
amounts,amount
venture,venture
flow,flow
emphasis,emphasis
sciences,science
zoning,zone
creation,creation
incubator,incubator
universities,university
connections,connection
foster,foster
retrofit,retrofit
evaluation,evaluation
order,order
regulations,regulation
undertaken,undertake
missing,miss
preparedness,preparedness
taken,take
heating,heating
spatial,spatial
precipitation,precipitation
technologies,technology
translated,translate
factor,factor
processing,process
clearpath,clearpath
output,output
recalculation,recalculation
evidence,evidence
entered,enter
performance,performance
generation,generation
save,save
discretion,discretion
overarching,overarch
decreased,decrease
open,open
participate,participate
strengthen,strengthen
resiliency,resiliency
preparation,preparation
wildfire,wildfire
shutoff,shutoff
engage,engage
focus,focus
pace,pace
rest,rest
combination,combination
shut,shut
list,list
sjce,sjce
explore,explore
•,•
promotion,promotion
alternatives,alternative
focused,focus
disadvantaged,disadvantaged
dac,dac
sash,sash
multifamily,multifamily
somah,somah
owners,owner
website,website
exploration,exploration
online,online
portals,portal
streamline,streamline
contractor,contractor
bidding,bidding
self,self
incentive,incentive
sgip,sgip
internal,internal
marketing,marketing
outreach,outreach
directing,direct
medically,medically
financially,financially
given,give
planned,plan
stream,stream
periodic,periodic
collection,collection
staffing,staffing
performed,perform
showed,show
division,division
adequate,adequate
meet,meet
regulatory,regulatory
assesses,assess
dam,dam
levee,levee
failure,failure
earthquake,earthquake
landslide,landslide
mass,mass
tsunami,tsunami
intentional,intentional
criminal,criminal
malicious,malicious
acts,act
technological,technological
incidents,incident
epidemics,epidemic
pandemics,pandemic
fog,fog
landslides,landslide
grant,grant
brownfields,brownfield
station,station
pumps,pump
sanitary,sanitary
sewer,sewer
danvers,danver
sesd,sesd
engineering,engineering
