cluster,child_topic,top_terms,modele
229,99,"['include commercial', 'commercial building', 'include commercial building', 'commercial industrial', 'commercial building facility', 'building facility', 'residential commercial', 'industrial building', 'energy efficiency', 'industrial energy', 'residential building', 'commercial residential', 'industrial residential', 'commercial industrial residential', 'residential energy']",top2vec
229,148,"['stationary energy', 'include stationary', 'include stationary energy', 'natural gas', 'institutional building', 'commercial building', 'building facility', 'industrial institutional', 'apply sub sector', 'apply sub', 'sub sector', 'institutional building facility', 'include institutional', 'commercial institutional', 'integrate commercial']",top2vec
271,101,"['fuel oil', 'distillate fuel oil', 'distillate fuel', 'heat pump', 'heating cool', 'gas oil', 'convert heat', 'convert heat pump', 'heating convert', 'heating convert heat', 'natural gas', 'fuel oil use', 'oil use', 'datum provide', 'gas fuel oil']",top2vec
271,42,"['electric bus', 'bus fleet', 'purchase electric bus', 'purchase electric', 'bus system', 'transit bus', 'bus electric', 'bus bus', 'diesel bus', 'fully electric bus', 'electrify transit', 'electrify transit bus', 'rock fall', 'regional county', 'fully electric']",top2vec
272,55,"['climate change', 'adaptation plan', 'climate action', 'action adaptation plan', 'climate action adaptation', 'action adaptation', 'climate adaptation plan', 'climate adaptation', 'adaptation strategy', 'climate change adaptation', 'change adaptation', 'action plan', 'climate resilience', 'change mitigation', 'climate change mitigation']",top2vec
272,134,"['mitigation plan', 'hazard mitigation', 'hazard mitigation plan', 'plan update', 'local hazard', 'local hazard mitigation', 'risk assessment', 'jurisdictional hazard', 'jurisdictional hazard mitigation', 'mitigation plan update', 'multi jurisdictional', 'disaster mitigation', 'multi jurisdictional hazard', 'natural hazard', 'pre disaster']",top2vec
284,147,"['scope emission', 'include scope', 'base emission', 'scope indirect', 'stationary energy', 'scope scope', 'emission scope', 'emission report', 'include scope emission', 'ghg inventory', 'emission estimate', 'base emission scope', 'scope emission report', 'emission scope emission', 'scope upstream']",top2vec
284,109,"['emission inventory', 'inventory report', 'ghg inventory', 'community inventory', 'community inventory report', 'ghg emission', 'inventory update', 'ghg emission inventory', 'annual report', 'community wide', 'consumption base', 'wide ghg', 'inventory baseline', 'community wide inventory', 'consumption base inventory']",top2vec
294,54,"['tree canopy', 'tree planting', 'tree plant', 'urban tree', 'urban tree canopy', 'increase tree', 'canopy coverage', 'increase tree canopy', 'plant tree', 'tree canopy coverage', 'new tree', 'street tree', 'canopy cover', 'master plan', 'tree ordinance']",top2vec
294,47,"['bike share', 'bike lane', 'share program', 'bike share program', 'bicycle pedestrian', 'plan implementation', 'pedestrian plan', 'master plan', 'bicycle lane', 'alternative transportation', 'active transportation', 'bicycle master plan', 'bicycle master', 'safe route', 'bike pedestrian']",top2vec
296,150,"['flood map', 'flood insurance', 'flood hazard', 'flood control', 'flood risk', 'insurance rate', 'update flood', 'flood insurance rate', 'control levee', 'flood control levee', 'flood plain', 'develop flood', 'floodplain map', 'level rise', 'flooding scenario']",top2vec
296,57,"['vulnerability assessment', 'climate change', 'climate vulnerability', 'adaptation plan', 'change vulnerability', 'climate change vulnerability', 'climate vulnerability assessment', 'change vulnerability assessment', 'risk assessment', 'vulnerability risk', 'climate hazard', 'vulnerability risk assessment', 'climate adaptation', 'climate resilience', 'sea level']",top2vec
299,69,"['recycled water', 'potable water', 'non potable', 'recycle water', 'water use', 'non potable water', 'water system', 'water reclamation', 'purple pipe', 'drinking water', 'water supply', 'water reuse', 'use non potable', 'water indoor', 'golf course']",top2vec
299,63,"['saltwater intrusion', 'salt water', 'salt water intrusion', 'water intrusion', 'sea level', 'level rise', 'sea level rise', 'carbon footprint', 'salt water plume', 'water plume', 'source water', 'water supply', 'water intrusion aquifer', 'intrusion aquifer', 'specify saltwater']",top2vec
300,90,"['renewable energy', 'solar installation', 'rooftop solar', 'solar panel', 'instal solar', 'solar project', 'solar thermal', 'solar energy', 'purchase agreement', 'solar instal', 'solar system', 'power purchase agreement', 'power purchase', 'solar array', 'solar facility']",top2vec
300,130,"['energy efficiency', 'efficiency retrofit', 'energy efficiency retrofit', 'energy retrofit', 'build energy', 'municipal building', 'efficiency upgrade', 'efficiency improvement', 'upgrade building', 'energy use', 'deep energy', 'energy audits', 'energy efficient', 'water use', 'efficiency measure']",top2vec
301,20,"['improvement program', 'capital improvement', 'facility improvement', 'capital project', 'improvement project', 'specify capital', 'infrastructure improvement', 'specify infrastructure improvement', 'improvement measure', 'facility improvement measure', 'specify capital improvement', 'specify infrastructure', 'drainage improvement', 'storm water', 'measure building']",top2vec
301,118,"['specify fund', 'specify grant', 'project fund', 'specify project', 'specify project fund', 'grant fund', 'grant funding', 'specify federal', 'specify state', 'funding source', 'state federal', 'grant program', 'seek funding', 'federal grant', 'specify utility']",top2vec
302,157,"['heat wave', 'extreme heat', 'day year', 'hot day', 'temperature extreme', 'day degree', 'temperature increase', 'number day', 'heat day', 'extreme heat day', 'extreme hot', 'extreme cold', 'degree fahrenheit', 'average temperature', 'heat relate']",top2vec
302,152,"['vector bear', 'bear disease', 'vector bear disease', 'infectious disease', 'borne disease', 'climate change', 'warm temperature', 'biological hazard', 'bear infectious disease', 'bear infectious', 'population increase', 'vector borne disease', 'vector borne', 'increase incidence', 'environmental condition']",top2vec
108,10,"['tree canopy', 'tree plant', 'tree planting', 'urban tree', 'urban tree canopy', 'canopy coverage', 'increase tree canopy', 'tree canopy coverage', 'increase tree', 'percent tree', 'tree canopy cover', 'new tree', 'canopy cover', 'plant upgrade', 'right place']",bert_hdbscan
108,60,"['tree canopy', 'tree planting', 'plant tree', 'carbon sequestration', 'urban forest', 'street tree', 'tree plant', 'tree year', 'urban forestry', 'exclude campus', 'new tree', 'urban tree', 'canopy coverage', 'goal tree', 'plant new']",bert_hdbscan
133,55,"['solar project', 'rooftop solar', 'solar energy', 'solar installation', 'solar storage', 'solar panel', 'solar facility', 'solar panel building', 'solar array', 'panel building', 'instal county', 'community solar', 'site solar', 'approve facility', 'facility list']",bert_hdbscan
133,86,"['renewable energy', 'solar panel', 'instal solar', 'solar installation', 'solar array', 'solar energy', 'install solar', 'solar system', 'solar project', 'community solar', 'purchase agreement', 'battery storage', 'power purchase agreement', 'power purchase', 'energy efficiency']",bert_hdbscan
